"","Nome","X","X.1","RT","Squadra.x","Kap.","X350K..8.","X350K..10.","X500K..8.","X500K..10.","M.V.","Pres.","Id","R","Squadra.y","Pg","Mv","Mf","Gf","Gs","Rp","Rc","R+","R-","Ass","Asf","Amm","Esp","Au"
"1","",272,NA,"
                        
                                                  P
                        

                        ","Benevento",9,2.28,2.75,1.06,4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ACAMPORA",88,NA,"
                        
                                                  C
                        

                        ","Spezia",3,NA,2.85,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ACERBI",553,NA,"
                        
                                                  D
                        

                        ","Lazio",19,19.65,21.59,21.6,23.4,NA,NA,"513","D","Lazio","36","6.26","6.43","2","0","0","0","0","0","2","0","4","0","0"
"4","ADEKANYE",127,NA,"
                        
                                                  A
                        

                        ","Estero",5,NA,NA,NA,NA,NA,NA,"4388","A","Lazio","11","6.12","6.75","1","0","0","0","0","0","0","0","1","0","0"
"5","ADJAPONG",123,NA,"
                        
                                                  D
                        

                        ","Serie Minori",5,NA,NA,NA,NA,NA,NA,"824","D","Verona","5","5.5","5.5","0","0","0","0","0","0","0","0","0","0","0"
"6","ADOPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4870","C","Torino","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","ADORANTE",5,NA,"
                        
                                                  A
                        

                        ","Serie Minori",1,NA,NA,NA,NA,NA,NA,"4387","A","Parma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","AGOUME",182,NA,"
                        
                                                  C
                        

                        ","Spezia",7,2.15,2.46,2.18,2.51,NA,NA,"4411","C","Inter","3","6","5.75","0","0","0","0","0","0","0","0","1","0","0"
"9","AGUDELO",408,NA,"
                        
                                                  C
                        

                        ","Spezia",13,13.28,13.77,16.93,19.11,NA,NA,"4515","C","Fiorentina","13","5.85","5.9","1","0","0","0","0","0","0","0","3","1","0"
"10","AINA",189,NA,"
                        
                                                  D
                        

                        ","Estero",7,NA,NA,NA,NA,NA,NA,"2865","D","Torino","32","5.69","5.59","0","0","0","0","0","0","1","0","8","0","0"
"11","AKPA AKPRO",298,NA,"
                        
                                                  C
                        

                        ","Lazio",9,NA,3.03,4.05,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ALASTRA",61,NA,"
                        
                                                  P
                        

                        ","Serie Minori",1,NA,NA,NA,NA,NA,NA,"654","P","Parma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","ALEX BERENGUER",469,NA,"
                        
                                                  C
                        

                        ","Estero",15,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ALEX SANDRO",536,NA,"
                        
                                                  D
                        

                        ","Juventus",18,19.84,22.16,18.51,22.86,NA,NA,"662","D","Juventus","29","5.97","6.07","1","0","0","0","0","0","2","0","4","0","0"
"15","ALFONSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4440","P","Brescia","4","5.83","4.5","0","4","0","0","0","0","0","0","0","0","0"
"16","ALIA",3,NA,"
                        
                                                  P
                        

                        ","Lazio",1,NA,1.08,1.01,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ALLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"397","C","Napoli","23","5.91","6.26","2","0","0","0","0","0","1","0","3","0","0"
"18","ALMICI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","D","Verona","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","AMIONE",91,NA,"
                        
                                                  D
                        

                        ","Verona",3,NA,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AMRABAT",458,NA,"
                        
                                                  C
                        

                        ","Fiorentina",14,16.33,16.44,16.14,19.29,NA,NA,"4522","C","Verona","34","6.29","6.21","0","0","0","1","1","0","1","0","10","2","0"
"21","ANDERSON A.",74,NA,"
                        
                                                  C
                        

                        ","Serie Minori",2,NA,NA,NA,NA,NA,NA,"4389","C","Lazio","7","5.67","5.67","0","0","0","0","0","0","0","0","0","0","0"
"22","ANDERSON D.",81,NA,"
                        
                                                  C
                        

                        ","Lazio",3,NA,3.8,NA,NA,NA,NA,"4390","C","Lazio","5","5.83","5.67","0","0","0","0","0","0","0","0","1","0","0"
"23","ANDRE' SILVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2175","A","Milan","1","5.5","5","0","0","0","0","0","0","0","0","1","0","0"
"24","ANDRENACCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4441","P","Brescia","6","6","3.33","0","16","0","0","0","0","0","0","0","0","0"
"25","ANGELLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1984","D","Udinese","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","ANKERSEN",173,NA,"
                        
                                                  C
                        

                        ","Estero",6,NA,NA,NA,NA,NA,NA,"4529","D","Genoa","19","5.84","5.84","0","0","0","0","0","0","1","0","2","0","0"
"27","ANSALDI",528,NA,"
                        
                                                  D
                        

                        ","Torino",17,19.21,23.66,16.37,19.93,NA,NA,"706","C","Torino","27","6.08","6.52","4","0","0","0","0","0","4","0","9","0","0"
"28","ANTONUCCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2657","A","Roma","2","5.75","5.5","0","0","0","0","0","0","0","0","1","0","0"
"29","ANTOV",114,NA,"
                        
                                                  D
                        

                        ","Bologna",4,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ARANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4526","D","Atalanta","4","6","6","0","0","0","0","0","0","0","0","0","0","0"
"31","ARESTI",21,NA,"
                        
                                                  P
                        

                        ","Cagliari",1,NA,1.06,1.02,1.21,NA,NA,"1946","P","Cagliari","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","ARMINI",16,NA,"
                        
                                                  D
                        

                        ","Lazio",1,NA,1.42,1,1.21,NA,NA,"4366","D","Lazio","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","ARSLAN",350,NA,"
                        
                                                  C
                        

                        ","Udinese",11,10.74,12.12,11.31,13.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ARTHUR",544,NA,"
                        
                                                  C
                        

                        ","Juventus",18,19.21,21.09,21.18,21.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ASAMOAH",226,NA,"
                        
                                                  D
                        

                        ","Cagliari",7,NA,5.45,3.08,4.35,NA,NA,"295","D","Inter","8","6.12","6.19","0","0","0","0","0","0","1","0","1","0","0"
"36","ASCACIBAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4178","D","Atalanta","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","ASENCIO",205,NA,"
                        
                                                  A
                        

                        ","Serie Minori",7,NA,NA,NA,NA,NA,NA,"756","A","Genoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","ASKILDSEN",107,NA,"
                        
                                                  C
                        

                        ","Sampdoria",4,NA,5.06,NA,NA,NA,NA,"4921","C","Sampdoria","4","6","6.67","1","0","0","0","0","0","0","0","0","1","0"
"39","ASORO",136,NA,"
                        
                                                  A
                        

                        ","Estero",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","AUDERO",559,NA,"
                        
                                                  P
                        

                        ","Sampdoria",19,20.08,20.44,16.89,21.08,NA,NA,"761","P","Sampdoria","36","6.03","4.29","0","60","0","0","0","0","0","0","1","0","1"
"41","AUGELLO",349,NA,"
                        
                                                  D
                        

                        ","Sampdoria",11,12.4,12.44,11.22,14.02,NA,NA,"4421","D","Sampdoria","17","6.06","6.12","0","0","0","0","0","0","2","0","2","0","0"
"42","AVOGADRI",42,NA,"
                        
                                                  P
                        

                        ","Sampdoria",1,NA,0.69,NA,NA,NA,NA,"4523","P","Sampdoria","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","AYE'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4413","A","Brescia","22","5.5","5.4","0","0","0","0","0","0","0","0","2","1","0"
"44","AYHAN",276,NA,"
                        
                                                  D
                        

                        ","Sassuolo",9,1.2,3.31,0.94,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","BABACAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"183","A","Lecce","25","5.67","5.71","3","0","0","2","0","2","0","0","4","0","0"
"46","BADELJ",524,NA,"
                        
                                                  C
                        

                        ","Genoa",17,20.08,24.69,17.41,20.23,NA,NA,"170","C","Fiorentina","22","5.65","5.72","1","0","0","0","0","0","0","0","1","1","0"
"47","BADU",144,NA,"
                        
                                                  C
                        

                        ","Verona",5,NA,NA,NA,NA,NA,NA,"589","C","Verona","10","5.5","5.25","0","0","0","0","0","0","0","0","2","0","0"
"48","BAEZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"694","A","Fiorentina","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","BAHLOULI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4508","A","Sampdoria","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","BAKAYOKO",466,NA,"
                        
                                                  C
                        

                        ","Napoli",15,16.8,18.27,15.96,18.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","BALDURSSON",93,NA,"
                        
                                                  C
                        

                        ","Bologna",3,NA,3.8,NA,0.44,NA,NA,"4919","C","Bologna","7","5.83","5.83","0","0","0","0","0","0","0","0","0","0","0"
"52","BALIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"813","C","Udinese","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","BALKOVEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4492","D","Verona","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","BALLARINI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4932","C","Udinese","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","BALOGH",48,NA,"
                        
                                                  D
                        

                        ","Parma",1,NA,1,1,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","BALOTELLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"696","A","Brescia","19","5.82","6.42","5","0","0","0","0","0","0","0","5","1","0"
"57","BANI",325,NA,"
                        
                                                  D
                        

                        ","Parma",10,11.49,13.91,NA,5.04,NA,NA,"2285","D","Bologna","27","5.96","6.19","4","0","0","0","0","0","0","0","10","1","0"
"58","BARAK",582,NA,"
                        
                                                  C
                        

                        ","Verona",22,23.06,28.42,21.39,24.77,NA,NA,"2172","C","Lecce","24","5.89","6.18","2","0","0","0","0","0","1","0","1","0","0"
"59","BARAYE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2805","A","Parma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","BARBA",235,NA,"
                        
                                                  D
                        

                        ","Benevento",8,NA,4.47,NA,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","BARELLA",591,NA,"
                        
                                                  C
                        

                        ","Inter",25,25.22,30.75,23.7,30.03,NA,NA,"1870","C","Inter","27","6.07","6.09","1","0","0","0","0","0","3","0","11","0","0"
"62","BARILLA'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2802","C","Parma","26","5.82","5.86","1","0","0","0","0","0","1","0","6","0","0"
"63","BARRECA",164,NA,"
                        
                                                  C
                        

                        ","Fiorentina",6,NA,NA,NA,NA,NA,NA,"1979","D","Genoa","18","5.68","5.74","0","0","0","0","0","0","1","0","0","0","0"
"64","BARRETO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"494","C","Sampdoria","2","5.5","5.5","0","0","0","0","0","0","0","0","0","0","0"
"65","BARROW",598,NA,"
                        
                                                  A
                        

                        ","Bologna",25,27.98,34.01,27.14,36.27,NA,NA,"2719","A","Bologna","25","6.14","7.28","8","0","0","2","1","1","5","0","1","0","0"
"66","BARTOLOMEI",201,NA,"
                        
                                                  C
                        

                        ","Serie Minori",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","BASELLI",369,NA,"
                        
                                                  C
                        

                        ","Torino",11,12.93,15.9,12.72,14.07,NA,NA,"556","C","Torino","16","5.94","5.97","0","0","0","0","0","0","1","1","3","0","0"
"68","BASIT",38,NA,"
                        
                                                  C
                        

                        ","Serie Minori",1,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","BASTONI",504,NA,"
                        
                                                  D
                        

                        ","Inter",16,17.83,22.19,15.37,19.85,NA,NA,"2120","D","Inter","25","5.98","6.04","2","0","0","0","0","0","0","0","7","1","0"
